item_id,cefr_true,true_p_mid,band_low,band_high
195043,C2,0.11717951103039602,0.1,0.25
195044,C2,0.20026044426857076,0.1,0.25
195045,A2,0.7706644309214699,0.7,0.85
195046,C1,0.33478541597217837,0.25,0.4
195047,A2,0.8147498286124037,0.7,0.85
195048,A2,0.7952077480000885,0.7,0.85
195049,A1,0.9053579400657995,0.85,0.95
195050,B2,0.4838810741118121,0.4,0.55
195051,A2,0.7455925147093918,0.7,0.85
195052,C1,0.25462267518519094,0.25,0.4
195053,A1,0.8936717389232363,0.85,0.95
195054,C1,0.2821877009229294,0.25,0.4
195055,A1,0.8908528643724636,0.85,0.95
195056,A1,0.9353403073268166,0.85,0.95
195057,A1,0.8733939485865341,0.85,0.95
195058,A1,0.8558302741689066,0.85,0.95
195059,C2,0.14220758380329948,0.1,0.25
195060,C1,0.29403906366500254,0.25,0.4
195061,B1,0.6492874772090342,0.55,0.7
195062,A2,0.7835548228511917,0.7,0.85
195063,A1,0.9283898209106414,0.85,0.95
195064,B2,0.4996470310491082,0.4,0.55
195065,A2,0.7609580292160105,0.7,0.85
195066,A1,0.9314020384666034,0.85,0.95
195067,B2,0.4250459379861556,0.4,0.55
195068,C2,0.10340681097007907,0.1,0.25
195069,B1,0.5635071791163463,0.55,0.7
195070,A2,0.8083539025894675,0.7,0.85
195071,C1,0.3192815845377081,0.25,0.4
195072,A1,0.8661271779033601,0.85,0.95
195073,A2,0.7751567162655045,0.7,0.85
195074,B1,0.5728468154069752,0.55,0.7
195075,B2,0.5044480562616604,0.4,0.55
195076,C1,0.3169234413361046,0.25,0.4
195077,C2,0.15715318391447236,0.1,0.25
195084,A1,0.8801512089147876,0.85,0.95
195085,A1,0.9130282593118888,0.85,0.95
195086,A1,0.886181261055339,0.85,0.95
195087,A1,0.85876499193161,0.85,0.95
195088,A1,0.8618005902120515,0.85,0.95
195089,A1,0.9461897664549515,0.85,0.95
195090,A1,0.9408580690707606,0.85,0.95
195091,A1,0.919970713381075,0.85,0.95
195092,A1,0.8765869961459519,0.85,0.95
195093,A1,0.9469176377347723,0.85,0.95
195094,A1,0.9278750903965794,0.85,0.95
195095,A2,0.8075335283738493,0.7,0.85
195096,A2,0.7674042253215683,0.7,0.85
195097,A2,0.7408362342767738,0.7,0.85
195098,A2,0.7144586443230249,0.7,0.85
195099,A2,0.8353903594815763,0.7,0.85
195100,A2,0.7683664434750417,0.7,0.85
195101,A2,0.7303545047192845,0.7,0.85
195102,A2,0.7458934936225978,0.7,0.85
195103,A2,0.7868829353412844,0.7,0.85
195104,A2,0.7265159174408847,0.7,0.85
195105,B1,0.6784921426138563,0.55,0.7
195106,B1,0.6637779294752815,0.55,0.7
195107,B1,0.6579194433926405,0.55,0.7
195108,B1,0.6148139559662655,0.55,0.7
195109,B1,0.6440963261053665,0.55,0.7
195110,B1,0.6376146953369103,0.55,0.7
195111,B1,0.647476990233223,0.55,0.7
195112,B1,0.5626666481709834,0.55,0.7
195113,B1,0.6123711103255914,0.55,0.7
195114,B1,0.5562421260792839,0.55,0.7
195115,B1,0.6240986228866778,0.55,0.7
195116,B1,0.5994791818499178,0.55,0.7
195117,B1,0.5716786283299071,0.55,0.7
195118,B2,0.41551044515838276,0.4,0.55
195119,B2,0.4881466858266568,0.4,0.55
195120,B2,0.4255889452805329,0.4,0.55
195121,B2,0.5387680177565196,0.4,0.55
195122,B2,0.4871591709550593,0.4,0.55
195123,B2,0.4520304706802256,0.4,0.55
195124,B2,0.4886373237222126,0.4,0.55
195125,B2,0.40342058065445463,0.4,0.55
195126,C1,0.39378388198621683,0.25,0.4
195127,C1,0.32234551554143503,0.25,0.4
195128,C1,0.36741028408754295,0.25,0.4
195129,C1,0.26240949998836577,0.25,0.4
195130,C1,0.32299874962572406,0.25,0.4
195131,C1,0.32360604915317814,0.25,0.4
195132,C1,0.39067396824624745,0.25,0.4
195133,C1,0.33575920785641133,0.25,0.4
195134,C1,0.3210234101585431,0.25,0.4
195135,C1,0.29004634946378405,0.25,0.4
195136,C2,0.14973534960138282,0.1,0.25
195137,C2,0.17810086037073067,0.1,0.25
195138,C2,0.165836719045757,0.1,0.25
195139,C2,0.10324181198204957,0.1,0.25
195140,C2,0.22394378862915368,0.1,0.25
195141,C2,0.234424115775965,0.1,0.25
195142,C2,0.12103736334979162,0.1,0.25
195143,C2,0.1831054215308574,0.1,0.25
195145,A1,0.8608575741135444,0.85,0.95
